"name","info","season","club","nation.","pass","app","pos.","avg_pass"
" Andy Keogh","Ireland","2010/11","  - "," Ireland",11,1,"FW",11
" Ángelo Henríquez","Chile","2012/13","  - "," Chile",12,4,"FW",3
" Anthony Martial","France","2015/16"," Manchester United  "," France",923,31,"FW",29.7741935483871
" Anthony Modeste","France","2011/12","  - "," France",86,9,"FW",9.55555555555556
" Anthony Stokes","Ireland","2007/08","  - "," Ireland",206,20,"FW",10.3
" Anthony Stokes","Ireland","2008/09","  - "," Ireland",14,2,"FW",7
" Antoine Sibierski","France","2006/07","  - "," France",548,26,"FW",21.0769230769231
" Antoine Sibierski","France","2007/08","  - "," France",297,30,"FW",9.9
" Antoine Sibierski","France","2008/09","  - "," France",15,3,"FW",5
" Apostolos Vellios","Greece","2010/11","  - "," Greece",4,3,"FW",1.33333333333333
" Apostolos Vellios","Greece","2011/12","  - "," Greece",75,13,"FW",5.76923076923077
" Apostolos Vellios","Greece","2012/13","  - "," Greece",24,6,"FW",4
" Ariz Makukula","Portugal","2008/09","  - "," Portugal",62,6,"FW",10.3333333333333
" Arouna Koné","Cote D'Ivoire","2012/13","  - "," Cote D'Ivoire",896,34,"FW",26.3529411764706
" Arouna Koné","Cote D'Ivoire","2013/14"," Everton  "," Cote D'Ivoire",28,5,"FW",5.6
" Arouna Koné","Cote D'Ivoire","2014/15"," Everton  "," Cote D'Ivoire",240,12,"FW",20
" Arouna Koné","Cote D'Ivoire","2015/16"," Everton  "," Cote D'Ivoire",580,25,"FW",23.2
" Aruna Dindane","Cote D'Ivoire","2009/10","  - "," Cote D'Ivoire",352,19,"FW",18.5263157894737
" Asamoah Gyan","Ghana","2010/11","  - "," Ghana",697,31,"FW",22.4838709677419
" Asamoah Gyan","Ghana","2011/12","  - "," Ghana",57,3,"FW",19
" Ashley Barnes","Austria","2014/15"," Burnley  "," Austria",748,35,"FW",21.3714285714286
" Ayoze Pérez","Spain","2014/15","  - "," Spain",566,36,"FW",15.7222222222222
" Ayoze Pérez","Spain","2015/16","  - "," Spain",588,34,"FW",17.2941176470588
" Bafétimbi Gomis","France","2014/15","  - "," France",453,31,"FW",14.6129032258065
" Bafétimbi Gomis","France","2015/16","  - "," France",509,33,"FW",15.4242424242424
" Bebé","Portugal","2010/11","  - "," Portugal",29,2,"FW",14.5
" Ben Hutchinson","England","2007/08","  - "," England",29,8,"FW",3.625
" Ben Sahar","Israel","2006/07","  - "," Israel",8,3,"FW",2.66666666666667
" Benik Afobe","Congo","2015/16"," AFC Bournemouth  "," Congo",224,15,"FW",14.9333333333333
" Benjani","Zimbabwe","2006/07","  - "," Zimbabwe",534,31,"FW",17.2258064516129
" Benjani","Zimbabwe","2007/08","  - "," Zimbabwe",711,36,"FW",19.75
" Benjani","Zimbabwe","2008/09","  - "," Zimbabwe",134,8,"FW",16.75
" Benjani","Zimbabwe","2009/10","  - "," Zimbabwe",61,10,"FW",6.1
" Benjani","Zimbabwe","2010/11","  - "," Zimbabwe",137,18,"FW",7.61111111111111
" Benni McCarthy","South Africa","2006/07","  - "," South Africa",851,36,"FW",23.6388888888889
" Benni McCarthy","South Africa","2007/08","  - "," South Africa",617,31,"FW",19.9032258064516
" Benni McCarthy","South Africa","2008/09","  - "," South Africa",435,28,"FW",15.5357142857143
" Benni McCarthy","South Africa","2009/10","  - "," South Africa",308,19,"FW",16.2105263157895
" Benni McCarthy","South Africa","2010/11","  - "," South Africa",32,6,"FW",5.33333333333333
" Bernardo Corradi","Italy","2006/07","  - "," Italy",532,25,"FW",21.28
" Bertrand Traoré","Burkina Faso","2015/16","  - "," Burkina Faso",136,10,"FW",13.6
" Billy Sharp","England","2012/13","  - "," England",4,2,"FW",2
" Björn Runström","Sweden","2006/07","  - "," Sweden",4,1,"FW",4
" Bobby Zamora","England","2006/07","  - "," England",711,32,"FW",22.21875
" Bobby Zamora","England","2007/08","  - "," England",324,13,"FW",24.9230769230769
" Bobby Zamora","England","2008/09","  - "," England",1023,35,"FW",29.2285714285714
" Bobby Zamora","England","2009/10","  - "," England",830,27,"FW",30.7407407407407
" Bobby Zamora","England","2010/11","  - "," England",293,14,"FW",20.9285714285714
" Bobby Zamora","England","2011/12","  - "," England",897,29,"FW",30.9310344827586
" Bobby Zamora","England","2012/13","  - "," England",479,21,"FW",22.8095238095238
" Bobby Zamora","England","2014/15","  - "," England",632,31,"FW",20.3870967741935
" Bojan","Spain","2014/15","  - "," Spain",560,16,"FW",35
" Bojan","Spain","2015/16","  - "," Spain",728,27,"FW",26.962962962963
" Brett Holman","Australia","2012/13","  - "," Australia",550,27,"FW",20.3703703703704
" Brett Ormerod","England","2010/11","  - "," England",255,19,"FW",13.4210526315789
" Brian McBride","United States","2006/07","  - "," United States",903,38,"FW",23.7631578947368
" Brian McBride","United States","2007/08","  - "," United States",380,17,"FW",22.3529411764706
" Brown Ideye","Nigeria","2014/15","  - "," Nigeria",295,24,"FW",12.2916666666667
" Caleb Folan","Ireland","2006/07","  - "," Ireland",206,13,"FW",15.8461538461538
" Caleb Folan","Ireland","2007/08","  - "," Ireland",16,2,"FW",8
" Caleb Folan","Ireland","2008/09","  - "," Ireland",126,15,"FW",8.4
" Caleb Folan","Ireland","2009/10","  - "," Ireland",171,8,"FW",21.375
" Callum Robinson","England","2013/14","  - "," England",18,4,"FW",4.5
" Callum Wilson","England","2015/16"," AFC Bournemouth  "," England",131,13,"FW",10.0769230769231
" Cameron Jerome","England","2007/08","  - "," England",457,33,"FW",13.8484848484848
" Cameron Jerome","England","2009/10","  - "," England",779,32,"FW",24.34375
" Cameron Jerome","England","2010/11","  - "," England",643,34,"FW",18.9117647058824
" Cameron Jerome","England","2011/12","  - "," England",197,23,"FW",8.56521739130435
" Cameron Jerome","England","2012/13","  - "," England",243,26,"FW",9.34615384615385
" Cameron Jerome","England","2013/14","  - "," England",463,29,"FW",15.9655172413793
" Cameron Jerome","England","2015/16","  - "," England",405,34,"FW",11.9117647058824
" Cameron Lancaster","England","2011/12","  - "," England",4,1,"FW",4
" Carlos Tévez","Argentina","2006/07","  - "," Argentina",519,26,"FW",19.9615384615385
" Carlos Tévez","Argentina","2007/08","  - "," Argentina",1099,34,"FW",32.3235294117647
" Carlos Tévez","Argentina","2008/09","  - "," Argentina",810,29,"FW",27.9310344827586
" Carlos Tévez","Argentina","2009/10","  - "," Argentina",1118,35,"FW",31.9428571428571
" Carlos Tévez","Argentina","2010/11","  - "," Argentina",1097,31,"FW",35.3870967741936
" Carlos Tévez","Argentina","2011/12","  - "," Argentina",401,13,"FW",30.8461538461538
" Carlos Tévez","Argentina","2012/13","  - "," Argentina",1200,34,"FW",35.2941176470588
" Carlos Vela","Mexico","2008/09","  - "," Mexico",186,14,"FW",13.2857142857143
" Carlos Vela","Mexico","2009/10","  - "," Mexico",100,11,"FW",9.09090909090909
" Carlos Vela","Mexico","2010/11","  - "," Mexico",165,12,"FW",13.75
" Carlton Cole","England","2006/07","  - "," England",190,17,"FW",11.1764705882353
" Carlton Cole","England","2007/08","  - "," England",646,31,"FW",20.8387096774194
" Carlton Cole","England","2008/09","  - "," England",674,27,"FW",24.962962962963
" Carlton Cole","England","2009/10","  - "," England",673,30,"FW",22.4333333333333
" Carlton Cole","England","2010/11","  - "," England",656,35,"FW",18.7428571428571
" Carlton Cole","England","2012/13","  - "," England",428,27,"FW",15.8518518518519
" Carlton Cole","England","2013/14","  - "," England",240,26,"FW",9.23076923076923
" Carlton Cole","England","2014/15","  - "," England",218,23,"FW",9.47826086956522
" Cauley Woodrow","England","2013/14","  - "," England",164,6,"FW",27.3333333333333
" Charlie Austin","England","2014/15","  - "," England",754,35,"FW",21.5428571428571
" Charlie Austin","England","2015/16"," Southampton  "," England",50,7,"FW",7.14285714285714
" Ched Evans","Wales","2008/09","  - "," Wales",110,16,"FW",6.875
" Chicharito","Mexico","2010/11","  - "," Mexico",447,27,"FW",16.5555555555556
" Chicharito","Mexico","2011/12","  - "," Mexico",404,28,"FW",14.4285714285714
" Chicharito","Mexico","2012/13","  - "," Mexico",268,22,"FW",12.1818181818182
" Chicharito","Mexico","2013/14","  - "," Mexico",210,24,"FW",8.75
" Chicharito","Mexico","2014/15","  - "," Mexico",10,1,"FW",10
" Chicharito","Mexico","2015/16","  - "," Mexico",14,1,"FW",14
" Chris Iwelumo","Scotland","2009/10","  - "," Scotland",139,15,"FW",9.26666666666667
" Chris Martin","Scotland","2011/12","  - "," Scotland",81,4,"FW",20.25
" Chris Martin","Scotland","2012/13","  - "," Scotland",3,1,"FW",3
" Chris Sutton","England","2006/07","  - "," England",238,8,"FW",29.75
" Chris Wood","New Zealand","2008/09","  - "," New Zealand",5,2,"FW",2.5
" Chris Wood","New Zealand","2010/11","  - "," New Zealand",3,1,"FW",3
" Chris Wood","New Zealand","2014/15","  - "," New Zealand",38,7,"FW",5.42857142857143
" Christian Benitez","Ecuador","2009/10","  - "," Ecuador",471,30,"FW",15.7
" Christian Benteke","Belgium","2012/13","  - "," Belgium",1142,34,"FW",33.5882352941176
" Christian Benteke","Belgium","2013/14","  - "," Belgium",872,26,"FW",33.5384615384615
" Christian Benteke","Belgium","2014/15","  - "," Belgium",966,29,"FW",33.3103448275862
" Christian Benteke","Belgium","2015/16","  - "," Belgium",516,29,"FW",17.7931034482759
" Christian Nade","France","2006/07","  - "," France",182,25,"FW",7.28
" Chuba Akpom","England","2013/14","  - "," England",NA,1,"FW",NA
" Chuba Akpom","England","2014/15","  - "," England",5,3,"FW",1.66666666666667
" Claudio Pizarro","Peru","2007/08","  - "," Peru",302,21,"FW",14.3809523809524
" Clint Dempsey","United States","2006/07","  - "," United States",82,10,"FW",8.2
" Clint Dempsey","United States","2007/08","  - "," United States",898,36,"FW",24.9444444444444
" Clint Dempsey","United States","2008/09","  - "," United States",1084,35,"FW",30.9714285714286
" Clint Dempsey","United States","2009/10","  - "," United States",910,29,"FW",31.3793103448276
" Clint Dempsey","United States","2010/11","  - "," United States",1140,37,"FW",30.8108108108108
" Clint Dempsey","United States","2011/12","  - "," United States",1305,37,"FW",35.2702702702703
" Clint Dempsey","United States","2012/13","  - "," United States",763,29,"FW",26.3103448275862
" Clint Dempsey","United States","2013/14","  - "," United States",121,5,"FW",24.2
" Clinton N'Jie","Cameroon","2015/16","  - "," Cameroon",72,8,"FW",9
" Colin Kazim-Richards","Turkey","2006/07","  - "," Turkey",413,27,"FW",15.2962962962963
" Collins John","Netherlands","2006/07","  - "," Netherlands",168,23,"FW",7.30434782608696
" Collins John","Netherlands","2007/08","  - "," Netherlands",7,2,"FW",3.5
" Connor Wickham","England","2011/12","  - "," England",161,16,"FW",10.0625
" Connor Wickham","England","2012/13","  - "," England",154,12,"FW",12.8333333333333
" Connor Wickham","England","2013/14","  - "," England",238,15,"FW",15.8666666666667
" Connor Wickham","England","2014/15","  - "," England",908,36,"FW",25.2222222222222
" Connor Wickham","England","2015/16"," Crystal Palace  "," England",387,21,"FW",18.4285714285714
" Conor McAleny","England","2011/12","  - "," England",3,2,"FW",1.5
" Conor Sammon","Ireland","2010/11","  - "," Ireland",57,7,"FW",8.14285714285714
" Conor Sammon","Ireland","2011/12","  - "," Ireland",150,25,"FW",6
" Craig Beattie","Scotland","2008/09","  - "," Scotland",35,7,"FW",5
" Craig Bellamy","Wales","2006/07","  - "," Wales",459,27,"FW",17
" Craig Bellamy","Wales","2007/08","  - "," Wales",145,8,"FW",18.125
" Craig Bellamy","Wales","2008/09","  - "," Wales",672,24,"FW",28
" Craig Bellamy","Wales","2009/10","  - "," Wales",916,32,"FW",28.625
" Craig Bellamy","Wales","2011/12","  - "," Wales",586,27,"FW",21.7037037037037
" Craig Bellamy","Wales","2013/14","  - "," Wales",510,22,"FW",23.1818181818182
" Craig Fagan","England","2007/08","  - "," England",380,22,"FW",17.2727272727273
" Craig Fagan","England","2008/09","  - "," England",356,22,"FW",16.1818181818182
" Craig Fagan","England","2009/10","  - "," England",505,25,"FW",20.2
" Craig Lynch","England","2010/11","  - "," England",12,2,"FW",6
" Cristiano Ronaldo","Portugal","2006/07","  - "," Portugal",1186,34,"FW",34.8823529411765
" Cristiano Ronaldo","Portugal","2007/08","  - "," Portugal",1126,34,"FW",33.1176470588235
" Cristiano Ronaldo","Portugal","2008/09","  - "," Portugal",1231,33,"FW",37.3030303030303
" DaMarcus Beasley","United States","2006/07","  - "," United States",302,18,"FW",16.7777777777778
" Dame N'Doye","Senegal","2014/15","  - "," Senegal",337,15,"FW",22.4666666666667
" Dame N'Doye","Senegal","2015/16","  - "," Senegal",187,11,"FW",17
" Dani Pacheco","Spain","2009/10","  - "," Spain",32,4,"FW",8
" Dani Pacheco","Spain","2010/11","  - "," Spain",4,1,"FW",4
" Daniel Cousin","Gabon","2008/09","  - "," Gabon",520,27,"FW",19.2592592592593
" Daniel Cousin","Gabon","2009/10","  - "," Gabon",26,3,"FW",8.66666666666667
" Daniel Sturridge","England","2006/07","  - "," England",4,2,"FW",2
" Daniel Sturridge","England","2007/08","  - "," England",41,3,"FW",13.6666666666667
" Daniel Sturridge","England","2008/09","  - "," England",142,16,"FW",8.875
" Daniel Sturridge","England","2009/10","  - "," England",77,13,"FW",5.92307692307692
" Daniel Sturridge","England","2010/11","  - "," England",276,25,"FW",11.04
" Daniel Sturridge","England","2011/12","  - "," England",702,30,"FW",23.4
" Daniel Sturridge","England","2012/13"," Liverpool  "," England",437,21,"FW",20.8095238095238
" Daniel Sturridge","England","2013/14"," Liverpool  "," England",740,29,"FW",25.5172413793103
" Daniel Sturridge","England","2014/15"," Liverpool  "," England",250,12,"FW",20.8333333333333
" Daniel Sturridge","England","2015/16"," Liverpool  "," England",317,14,"FW",22.6428571428571
" Danny Graham","England","2006/07","  - "," England",1,1,"FW",1
" Danny Graham","England","2011/12","  - "," England",589,36,"FW",16.3611111111111
" Danny Graham","England","2012/13","  - "," England",368,31,"FW",11.8709677419355
" Danny Graham","England","2013/14","  - "," England",269,18,"FW",14.9444444444444
" Danny Graham","England","2014/15","  - "," England",165,14,"FW",11.7857142857143
" Danny Graham","England","2015/16","  - "," England",88,10,"FW",8.8
" Danny Ings","England","2014/15","  - "," England",715,35,"FW",20.4285714285714
" Danny Ings","England","2015/16"," Liverpool  "," England",80,6,"FW",13.3333333333333
" Danny Ward","England","2009/10","  - "," England",6,2,"FW",3
" Danny Webber","England","2006/07","  - "," England",323,22,"FW",14.6818181818182
" Danny Webber","England","2009/10","  - "," England",198,17,"FW",11.6470588235294
" Danny Welbeck","England","2008/09","  - "," England",37,3,"FW",12.3333333333333
" Danny Welbeck","England","2009/10","  - "," England",49,5,"FW",9.8
" Danny Welbeck","England","2010/11","  - "," England",578,26,"FW",22.2307692307692
" Danny Welbeck","England","2011/12","  - "," England",736,30,"FW",24.5333333333333
" Danny Welbeck","England","2012/13","  - "," England",508,27,"FW",18.8148148148148
" Danny Welbeck","England","2013/14","  - "," England",523,25,"FW",20.92
" Danny Welbeck","England","2014/15"," Arsenal  "," England",542,27,"FW",20.0740740740741
" Danny Welbeck","England","2015/16"," Arsenal  "," England",148,11,"FW",13.4545454545455
" Darius Henderson","England","2006/07","  - "," England",775,35,"FW",22.1428571428571
" Darius Vassell","England","2006/07","  - "," England",657,32,"FW",20.53125
" Darius Vassell","England","2007/08","  - "," England",467,27,"FW",17.2962962962963
" Darius Vassell","England","2008/09","  - "," England",129,8,"FW",16.125
" Darren Bent","England","2006/07","  - "," England",695,32,"FW",21.71875
" Darren Bent","England","2007/08","  - "," England",238,27,"FW",8.81481481481481
" Darren Bent","England","2008/09","  - "," England",497,33,"FW",15.0606060606061
" Darren Bent","England","2009/10","  - "," England",856,38,"FW",22.5263157894737
" Darren Bent","England","2010/11","  - "," England",774,36,"FW",21.5
" Darren Bent","England","2011/12","  - "," England",407,22,"FW",18.5
" Darren Bent","England","2012/13","  - "," England",177,16,"FW",11.0625
" Darren Bent","England","2013/14","  - "," England",265,24,"FW",11.0416666666667
" Darren Bent","England","2014/15","  - "," England",18,7,"FW",2.57142857142857
" Daryl Murphy","Ireland","2007/08","  - "," Ireland",476,28,"FW",17
" Daryl Murphy","Ireland","2008/09","  - "," Ireland",218,23,"FW",9.47826086956522
" Daryl Murphy","Ireland","2009/10","  - "," Ireland",52,3,"FW",17.3333333333333
" Dave Kitson","England","2006/07","  - "," England",181,13,"FW",13.9230769230769
" Dave Kitson","England","2007/08","  - "," England",862,34,"FW",25.3529411764706
" Dave Kitson","England","2008/09","  - "," England",224,16,"FW",14
" Dave Kitson","England","2009/10","  - "," England",307,18,"FW",17.0555555555556
" David Connolly","Ireland","2006/07","  - "," Ireland",34,2,"FW",17
" David Connolly","Ireland","2007/08","  - "," Ireland",39,3,"FW",13
" David Di Michele","Italy","2008/09","  - "," Italy",697,30,"FW",23.2333333333333
" David Elm","Sweden","2009/10","  - "," Sweden",131,10,"FW",13.1
" David Goodwillie","Scotland","2011/12","  - "," Scotland",146,20,"FW",7.3
" David Healy","Northern Ireland","2007/08","  - "," Northern Ireland",273,30,"FW",9.1
" David Healy","Northern Ireland","2008/09","  - "," Northern Ireland",44,10,"FW",4.4
" David Healy","Northern Ireland","2009/10","  - "," Northern Ireland",10,3,"FW",3.33333333333333
" David Ngog","France","2008/09","  - "," France",90,14,"FW",6.42857142857143
" David Ngog","France","2009/10","  - "," France",303,24,"FW",12.625
" David Ngog","France","2010/11","  - "," France",359,25,"FW",14.36
" David Ngog","France","2011/12","  - "," France",736,33,"FW",22.3030303030303
" David Ngog","France","2013/14","  - "," France",9,3,"FW",3
" David Nugent","England","2007/08","  - "," England",146,15,"FW",9.73333333333333
" David Nugent","England","2008/09","  - "," England",302,16,"FW",18.875
" David Nugent","England","2009/10","  - "," England",511,33,"FW",15.4848484848485
" David Nugent","England","2014/15","  - "," England",564,29,"FW",19.448275862069
" Dean Ashton","England","2007/08","  - "," England",575,31,"FW",18.5483870967742
" Dean Ashton","England","2008/09","  - "," England",56,4,"FW",14
" Dean Windass","England","2008/09","  - "," England",45,5,"FW",9
" Demba Ba","Senegal","2010/11","  - "," Senegal",261,12,"FW",21.75
" Demba Ba","Senegal","2011/12","  - "," Senegal",771,34,"FW",22.6764705882353
" Demba Ba","Senegal","2012/13","  - "," Senegal",680,34,"FW",20
" Demba Ba","Senegal","2013/14","  - "," Senegal",173,19,"FW",9.10526315789474
" Denis Stracqualursi","Argentina","2011/12","  - "," Argentina",178,21,"FW",8.47619047619048
" Diafra Sakho","Senegal","2014/15"," West Ham United  "," Senegal",342,23,"FW",14.8695652173913
" Diafra Sakho","Senegal","2015/16"," West Ham United  "," Senegal",344,21,"FW",16.3809523809524
" Didier Drogba","Cote D'Ivoire","2006/07","  - "," Cote D'Ivoire",784,36,"FW",21.7777777777778
" Didier Drogba","Cote D'Ivoire","2007/08","  - "," Cote D'Ivoire",439,19,"FW",23.1052631578947
" Didier Drogba","Cote D'Ivoire","2008/09","  - "," Cote D'Ivoire",441,24,"FW",18.375
" Didier Drogba","Cote D'Ivoire","2009/10","  - "," Cote D'Ivoire",640,32,"FW",20
" Didier Drogba","Cote D'Ivoire","2010/11","  - "," Cote D'Ivoire",785,36,"FW",21.8055555555556
" Didier Drogba","Cote D'Ivoire","2011/12","  - "," Cote D'Ivoire",388,24,"FW",16.1666666666667
" Didier Drogba","Cote D'Ivoire","2014/15","  - "," Cote D'Ivoire",317,28,"FW",11.3214285714286
" Diego Costa","Spain","2014/15"," Chelsea  "," Spain",708,26,"FW",27.2307692307692
" Diego Costa","Spain","2015/16"," Chelsea  "," Spain",824,28,"FW",29.4285714285714
" Diego Tristán","Spain","2008/09","  - "," Spain",227,14,"FW",16.2142857142857
" Dieumerci Mbokani","Congo","2015/16"," Norwich City  "," Congo",484,29,"FW",16.6896551724138
" Dimitar Berbatov","Bulgaria","2006/07","  - "," Bulgaria",948,33,"FW",28.7272727272727
" Dimitar Berbatov","Bulgaria","2007/08","  - "," Bulgaria",1172,36,"FW",32.5555555555556
" Dimitar Berbatov","Bulgaria","2008/09","  - "," Bulgaria",1271,32,"FW",39.71875
" Dimitar Berbatov","Bulgaria","2009/10","  - "," Bulgaria",924,33,"FW",28
" Dimitar Berbatov","Bulgaria","2010/11","  - "," Bulgaria",868,32,"FW",27.125
" Dimitar Berbatov","Bulgaria","2011/12","  - "," Bulgaria",236,12,"FW",19.6666666666667
" Dimitar Berbatov","Bulgaria","2012/13","  - "," Bulgaria",1463,33,"FW",44.3333333333333
" Dimitar Berbatov","Bulgaria","2013/14","  - "," Bulgaria",659,18,"FW",36.6111111111111
" Diomansy Kamara","Senegal","2007/08","  - "," Senegal",409,28,"FW",14.6071428571429
" Diomansy Kamara","Senegal","2008/09","  - "," Senegal",157,12,"FW",13.0833333333333
" Diomansy Kamara","Senegal","2009/10","  - "," Senegal",130,9,"FW",14.4444444444444
" Diomansy Kamara","Senegal","2010/11","  - "," Senegal",142,10,"FW",14.2
" Divock Origi","Belgium","2015/16"," Liverpool  "," Belgium",164,16,"FW",10.25
" DJ Campbell","England","2010/11","  - "," England",675,31,"FW",21.7741935483871
" DJ Campbell","England","2011/12","  - "," England",77,11,"FW",7
" Djibril Cissé","France","2008/09","  - "," France",533,35,"FW",15.2285714285714
" Djibril Cissé","France","2011/12","  - "," France",107,8,"FW",13.375
" Djibril Cissé","France","2012/13","  - "," France",226,18,"FW",12.5555555555556
" Dominic Samuel","England","2012/13","  - "," England",8,1,"FW",8
" Dong Fangzhuo","China","2006/07","  - "," China",15,1,"FW",15
" Dong-Won Ji","South Korea","2011/12","  - "," South Korea",219,19,"FW",11.5263157894737
" Dong-Won Ji","South Korea","2013/14","  - "," South Korea",81,5,"FW",16.2
" Duncan Watmore","England","2015/16"," Sunderland  "," England",156,23,"FW",6.78260869565217
" Dwight Gayle","England","2013/14","  - "," England",208,23,"FW",9.04347826086956
" Dwight Gayle","England","2014/15","  - "," England",271,25,"FW",10.84
" Dwight Gayle","England","2015/16","  - "," England",144,16,"FW",9
" Eddie Johnson","United States","2007/08","  - "," United States",114,6,"FW",19
" Eddie Johnson","United States","2009/10","  - "," United States",7,2,"FW",3.5
" Eddie Johnson","United States","2010/11","  - "," United States",95,11,"FW",8.63636363636364
" Eder","Portugal","2015/16","  - "," Portugal",86,13,"FW",6.61538461538461
" Edin Dzeko","Bosnia And Herzegovina","2010/11","  - "," Bosnia And Herzegovina",293,15,"FW",19.5333333333333
" Edin Dzeko","Bosnia And Herzegovina","2011/12","  - "," Bosnia And Herzegovina",510,30,"FW",17
" Edin Dzeko","Bosnia And Herzegovina","2012/13","  - "," Bosnia And Herzegovina",679,32,"FW",21.21875
" Edin Dzeko","Bosnia And Herzegovina","2013/14","  - "," Bosnia And Herzegovina",714,31,"FW",23.0322580645161
" Edin Dzeko","Bosnia And Herzegovina","2014/15","  - "," Bosnia And Herzegovina",365,22,"FW",16.5909090909091
