"name","info","season","club","nation.","pos.","df_value","pass","app","avg_pass","avg_df_value","df_stats"
" Angel Rangel","Spain","2013/14"," Swansea City  "," Spain","DF",12,1934,30,64.4666666666667,0.4,"Tackled"
" Angel Rangel","Spain","2014/15"," Swansea City  "," Spain","DF",10,1343,27,49.7407407407407,0.37037037037037,"Tackled"
" Angel Rangel","Spain","2015/16"," Swansea City  "," Spain","DF",15,1278,23,55.5652173913044,0.652173913043478,"Tackled"
" Angelo Ogbonna","Italy","2015/16"," West Ham United  "," Italy","DF",9,945,28,33.75,0.321428571428571,"Tackled"
" Anthony Gardner","England","2007/08","  - "," England","DF",1,123,4,30.75,0.25,"Tackled"
" Anthony Gardner","England","2008/09","  - "," England","DF",NA,99,6,16.5,NA,"Tackled"
" Anthony Gardner","England","2009/10","  - "," England","DF",5,515,24,21.4583333333333,0.208333333333333,"Tackled"
" Anthony Gardner","England","2006/07","  - "," England","DF",NA,251,8,31.375,NA,"Tackled"
" Anthony Réveillere","France","2014/15","  - "," France","DF",11,552,16,34.5,0.6875,"Tackled"
" Anthony Vanden Borre","Belgium","2009/10","  - "," Belgium","DF",27,442,19,23.2631578947368,1.42105263157895,"Tackled"
" Antolin Alcaraz","Paraguay","2010/11","  - "," Paraguay","DF",12,1441,34,42.3823529411765,0.352941176470588,"Tackled"
" Antolin Alcaraz","Paraguay","2011/12","  - "," Paraguay","DF",3,1090,25,43.6,0.12,"Tackled"
" Antolin Alcaraz","Paraguay","2012/13","  - "," Paraguay","DF",5,348,10,34.8,0.5,"Tackled"
" Antolin Alcaraz","Paraguay","2013/14","  - "," Paraguay","DF",1,261,6,43.5,0.166666666666667,"Tackled"
" Antolin Alcaraz","Paraguay","2014/15","  - "," Paraguay","DF",2,357,8,44.625,0.25,"Tackled"
" Anton Ferdinand","England","2007/08","  - "," England","DF",4,540,25,21.6,0.16,"Tackled"
" Anton Ferdinand","England","2008/09","  - "," England","DF",2,769,31,24.8064516129032,0.0645161290322581,"Tackled"
" Anton Ferdinand","England","2009/10","  - "," England","DF",3,555,24,23.125,0.125,"Tackled"
" Anton Ferdinand","England","2010/11","  - "," England","DF",2,650,27,24.0740740740741,0.0740740740740741,"Tackled"
" Anton Ferdinand","England","2011/12","  - "," England","DF",6,805,34,23.6764705882353,0.176470588235294,"Tackled"
" Anton Ferdinand","England","2012/13","  - "," England","DF",1,332,13,25.5384615384615,0.0769230769230769,"Tackled"
" Anton Ferdinand","England","2006/07","  - "," England","DF",NA,754,31,24.3225806451613,NA,"Tackled"
" Antonio Luna","Spain","2013/14","  - "," Spain","DF",14,440,17,25.8823529411765,0.823529411764706,"Tackled"
" Antonio Valencia","Ecuador","2007/08","  - "," Ecuador","DF",68,997,31,32.1612903225806,2.19354838709677,"Tackled"
" Antonio Valencia","Ecuador","2008/09","  - "," Ecuador","DF",58,1151,31,37.1290322580645,1.87096774193548,"Tackled"
" Antonio Valencia","Ecuador","2009/10"," Manchester United  "," Ecuador","DF",74,1127,34,33.1470588235294,2.17647058823529,"Tackled"
" Antonio Valencia","Ecuador","2010/11"," Manchester United  "," Ecuador","DF",16,380,10,38,1.6,"Tackled"
" Antonio Valencia","Ecuador","2011/12"," Manchester United  "," Ecuador","DF",31,1206,27,44.6666666666667,1.14814814814815,"Tackled"
" Antonio Valencia","Ecuador","2012/13"," Manchester United  "," Ecuador","DF",46,1078,30,35.9333333333333,1.53333333333333,"Tackled"
" Antonio Valencia","Ecuador","2013/14"," Manchester United  "," Ecuador","DF",26,1054,29,36.3448275862069,0.896551724137931,"Tackled"
" Antonio Valencia","Ecuador","2014/15"," Manchester United  "," Ecuador","DF",11,1675,32,52.34375,0.34375,"Tackled"
" Antonio Valencia","Ecuador","2015/16"," Manchester United  "," Ecuador","DF",4,584,14,41.7142857142857,0.285714285714286,"Tackled"
" Antonio Valencia","Ecuador","2006/07","  - "," Ecuador","DF",NA,484,22,22,NA,"Tackled"
" Armand Traore","Senegal","2007/08","  - "," Senegal","DF",3,52,3,17.3333333333333,1,"Tackled"
" Armand Traore","Senegal","2008/09","  - "," Senegal","DF",48,420,19,22.1052631578947,2.52631578947368,"Tackled"
" Armand Traore","Senegal","2009/10","  - "," Senegal","DF",10,448,9,49.7777777777778,1.11111111111111,"Tackled"
" Armand Traore","Senegal","2011/12","  - "," Senegal","DF",23,677,24,28.2083333333333,0.958333333333333,"Tackled"
" Armand Traore","Senegal","2012/13","  - "," Senegal","DF",18,764,26,29.3846153846154,0.692307692307692,"Tackled"
" Armand Traore","Senegal","2014/15","  - "," Senegal","DF",12,284,16,17.75,0.75,"Tackled"
" Ashley Cole","England","2007/08","  - "," England","DF",33,1094,27,40.5185185185185,1.22222222222222,"Tackled"
" Ashley Cole","England","2008/09","  - "," England","DF",41,1614,34,47.4705882352941,1.20588235294118,"Tackled"
" Ashley Cole","England","2009/10","  - "," England","DF",30,1037,27,38.4074074074074,1.11111111111111,"Tackled"
" Ashley Cole","England","2010/11","  - "," England","DF",45,1656,38,43.5789473684211,1.18421052631579,"Tackled"
" Ashley Cole","England","2011/12","  - "," England","DF",36,1405,32,43.90625,1.125,"Tackled"
" Ashley Cole","England","2012/13","  - "," England","DF",24,1316,31,42.4516129032258,0.774193548387097,"Tackled"
" Ashley Cole","England","2013/14","  - "," England","DF",8,699,17,41.1176470588235,0.470588235294118,"Tackled"
" Ashley Cole","England","2006/07","  - "," England","DF",NA,860,23,37.3913043478261,NA,"Tackled"
" Ashley Williams","Wales","2011/12","  - "," Wales","DF",6,2594,37,70.1081081081081,0.162162162162162,"Tackled"
" Ashley Williams","Wales","2012/13","  - "," Wales","DF",2,1916,37,51.7837837837838,0.0540540540540541,"Tackled"
" Ashley Williams","Wales","2013/14","  - "," Wales","DF",5,1936,34,56.9411764705882,0.147058823529412,"Tackled"
" Ashley Williams","Wales","2014/15","  - "," Wales","DF",4,1812,37,48.972972972973,0.108108108108108,"Tackled"
" Ashley Williams","Wales","2015/16","  - "," Wales","DF",6,1883,36,52.3055555555556,0.166666666666667,"Tackled"
" Bacary Sagna","France","2007/08","  - "," France","DF",35,1298,29,44.7586206896552,1.20689655172414,"Tackled"
" Bacary Sagna","France","2008/09","  - "," France","DF",32,1664,35,47.5428571428571,0.914285714285714,"Tackled"
" Bacary Sagna","France","2009/10","  - "," France","DF",37,1605,35,45.8571428571429,1.05714285714286,"Tackled"
" Bacary Sagna","France","2010/11","  - "," France","DF",26,1810,33,54.8484848484849,0.787878787878788,"Tackled"
" Bacary Sagna","France","2011/12","  - "," France","DF",18,1126,21,53.6190476190476,0.857142857142857,"Tackled"
" Bacary Sagna","France","2012/13","  - "," France","DF",17,1497,25,59.88,0.68,"Tackled"
" Bacary Sagna","France","2013/14","  - "," France","DF",24,1854,35,52.9714285714286,0.685714285714286,"Tackled"
" Bacary Sagna","France","2014/15"," Manchester City  "," France","DF",6,462,9,51.3333333333333,0.666666666666667,"Tackled"
" Bacary Sagna","France","2015/16"," Manchester City  "," France","DF",12,1587,28,56.6785714285714,0.428571428571429,"Tackled"
" Ben Davies","Wales","2012/13","  - "," Wales","DF",14,1525,37,41.2162162162162,0.378378378378378,"Tackled"
" Ben Davies","Wales","2013/14","  - "," Wales","DF",18,1652,34,48.5882352941176,0.529411764705882,"Tackled"
" Ben Davies","Wales","2014/15"," Tottenham Hotspur  "," Wales","DF",5,463,14,33.0714285714286,0.357142857142857,"Tackled"
" Ben Davies","Wales","2015/16"," Tottenham Hotspur  "," Wales","DF",11,623,17,36.6470588235294,0.647058823529412,"Tackled"
" Ben Mee","England","2014/15"," Burnley  "," England","DF",16,1114,33,33.7575757575758,0.484848484848485,"Tackled"
" Ben Turner","England","2013/14","  - "," England","DF",1,1044,31,33.6774193548387,0.032258064516129,"Tackled"
" Benoit Assou-Ekotto","Cameroon","2007/08","  - "," Cameroon","DF",1,33,1,33,1,"Tackled"
" Benoit Assou-Ekotto","Cameroon","2008/09","  - "," Cameroon","DF",31,1415,29,48.7931034482759,1.06896551724138,"Tackled"
" Benoit Assou-Ekotto","Cameroon","2009/10","  - "," Cameroon","DF",25,1408,30,46.9333333333333,0.833333333333333,"Tackled"
" Benoit Assou-Ekotto","Cameroon","2010/11","  - "," Cameroon","DF",31,1518,30,50.6,1.03333333333333,"Tackled"
" Benoit Assou-Ekotto","Cameroon","2011/12","  - "," Cameroon","DF",39,2018,34,59.3529411764706,1.14705882352941,"Tackled"
" Benoit Assou-Ekotto","Cameroon","2012/13","  - "," Cameroon","DF",11,641,15,42.7333333333333,0.733333333333333,"Tackled"
" Benoit Assou-Ekotto","Cameroon","2006/07","  - "," Cameroon","DF",NA,614,16,38.375,NA,"Tackled"
" Billy Jones","England","2011/12","  - "," England","DF",4,554,18,30.7777777777778,0.222222222222222,"Tackled"
" Billy Jones","England","2012/13","  - "," England","DF",9,676,27,25.037037037037,0.333333333333333,"Tackled"
" Billy Jones","England","2013/14","  - "," England","DF",11,676,21,32.1904761904762,0.523809523809524,"Tackled"
" Billy Jones","England","2014/15"," Sunderland  "," England","DF",15,350,14,25,1.07142857142857,"Tackled"
" Billy Jones","England","2015/16"," Sunderland  "," England","DF",11,569,24,23.7083333333333,0.458333333333333,"Tackled"
" Brad Smith","Australia","2013/14","  - "," Australia","DF",NA,3,1,3,NA,"Tackled"
" Brad Smith","Australia","2015/16","  - "," Australia","DF",6,108,4,27,1.5,"Tackled"
" Bradley Orr","England","2011/12","  - "," England","DF",5,399,18,22.1666666666667,0.277777777777778,"Tackled"
" Branislav Ivanovic","Serbia","2008/09","  - "," Serbia","DF",3,519,16,32.4375,0.1875,"Tackled"
" Branislav Ivanovic","Serbia","2009/10","  - "," Serbia","DF",15,1002,28,35.7857142857143,0.535714285714286,"Tackled"
" Branislav Ivanovic","Serbia","2010/11","  - "," Serbia","DF",18,1305,34,38.3823529411765,0.529411764705882,"Tackled"
" Branislav Ivanovic","Serbia","2011/12","  - "," Serbia","DF",10,1067,29,36.7931034482759,0.344827586206897,"Tackled"
" Branislav Ivanovic","Serbia","2012/13","  - "," Serbia","DF",10,1327,34,39.0294117647059,0.294117647058824,"Tackled"
" Branislav Ivanovic","Serbia","2013/14","  - "," Serbia","DF",15,1522,36,42.2777777777778,0.416666666666667,"Tackled"
" Branislav Ivanovic","Serbia","2014/15","  - "," Serbia","DF",23,1499,38,39.4473684210526,0.605263157894737,"Tackled"
" Branislav Ivanovic","Serbia","2015/16","  - "," Serbia","DF",10,1301,33,39.4242424242424,0.303030303030303,"Tackled"
" Brede Hangeland","Norway","2007/08","  - "," Norway","DF",2,562,15,37.4666666666667,0.133333333333333,"Tackled"
" Brede Hangeland","Norway","2008/09","  - "," Norway","DF",3,1355,37,36.6216216216216,0.0810810810810811,"Tackled"
" Brede Hangeland","Norway","2009/10","  - "," Norway","DF",7,1330,32,41.5625,0.21875,"Tackled"
" Brede Hangeland","Norway","2010/11","  - "," Norway","DF",8,1546,37,41.7837837837838,0.216216216216216,"Tackled"
" Brede Hangeland","Norway","2011/12","  - "," Norway","DF",9,1817,38,47.8157894736842,0.236842105263158,"Tackled"
" Brede Hangeland","Norway","2012/13","  - "," Norway","DF",8,1530,35,43.7142857142857,0.228571428571429,"Tackled"
" Brede Hangeland","Norway","2013/14","  - "," Norway","DF",6,818,23,35.5652173913044,0.260869565217391,"Tackled"
" Brede Hangeland","Norway","2014/15","  - "," Norway","DF",NA,325,14,23.2142857142857,NA,"Tackled"
" Brede Hangeland","Norway","2015/16","  - "," Norway","DF",1,242,7,34.5714285714286,0.142857142857143,"Tackled"
" Brendan Galloway","England","2014/15","  - "," England","DF",3,57,2,28.5,1.5,"Tackled"
" Brendan Galloway","England","2015/16","  - "," England","DF",10,396,15,26.4,0.666666666666667,"Tackled"
" Bryan Oviedo","Costa Rica","2012/13","  - "," Costa Rica","DF",10,95,15,6.33333333333333,0.666666666666667,"Tackled"
" Bryan Oviedo","Costa Rica","2013/14","  - "," Costa Rica","DF",11,287,9,31.8888888888889,1.22222222222222,"Tackled"
" Bryan Oviedo","Costa Rica","2014/15","  - "," Costa Rica","DF",4,137,6,22.8333333333333,0.666666666666667,"Tackled"
" Bryan Oviedo","Costa Rica","2015/16","  - "," Costa Rica","DF",10,432,14,30.8571428571429,0.714285714285714,"Tackled"
" Cala","Spain","2013/14","  - "," Spain","DF",1,176,7,25.1428571428571,0.142857142857143,"Tackled"
" Calum Chambers","England","2013/14","  - "," England","DF",16,861,22,39.1363636363636,0.727272727272727,"Tackled"
" Calum Chambers","England","2014/15","  - "," England","DF",14,883,23,38.3913043478261,0.608695652173913,"Tackled"
" Calum Chambers","England","2015/16","  - "," England","DF",1,195,12,16.25,0.0833333333333333,"Tackled"
" Calum Davenport","England","2008/09","  - "," England","DF",4,373,15,24.8666666666667,0.266666666666667,"Tackled"
" Calum Davenport","England","2006/07","  - "," England","DF",NA,503,16,31.4375,NA,"Tackled"
" Cameron Borthwick-Jackson","England","2015/16","  - "," England","DF",5,353,10,35.3,0.5,"Tackled"
" Carl Dickinson","England","2008/09","  - "," England","DF",3,86,5,17.2,0.6,"Tackled"
" Carl Hoefkens","Belgium","2008/09","  - "," Belgium","DF",6,224,10,22.4,0.6,"Tackled"
" Carl Jenkinson","England","2011/12"," Arsenal  "," England","DF",5,268,9,29.7777777777778,0.555555555555556,"Tackled"
" Carl Jenkinson","England","2012/13"," Arsenal  "," England","DF",12,797,14,56.9285714285714,0.857142857142857,"Tackled"
" Carl Jenkinson","England","2013/14"," Arsenal  "," England","DF",1,398,14,28.4285714285714,0.0714285714285714,"Tackled"
" Carl Jenkinson","England","2014/15"," Arsenal  "," England","DF",20,863,32,26.96875,0.625,"Tackled"
" Carl Jenkinson","England","2015/16"," Arsenal  "," England","DF",6,505,20,25.25,0.3,"Tackled"
" Carlos Bocanegra","United States","2007/08","  - "," United States","DF",5,397,22,18.0454545454545,0.227272727272727,"Tackled"
" Carlos Bocanegra","United States","2006/07","  - "," United States","DF",NA,739,30,24.6333333333333,NA,"Tackled"
" Carlos Cuellar","Spain","2008/09","  - "," Spain","DF",6,714,28,25.5,0.214285714285714,"Tackled"
" Carlos Cuellar","Spain","2009/10","  - "," Spain","DF",17,1163,36,32.3055555555556,0.472222222222222,"Tackled"
" Carlos Cuellar","Spain","2010/11","  - "," Spain","DF",1,348,12,29,0.0833333333333333,"Tackled"
